Id,SalePrice
1461,125388.13
1462,162915.38
1463,187278.33
1464,195131.22
1465,185000.77
1466,172723.17
1467,170129.5
1468,167351.72
1469,185214.83
1470,127119.305
1471,197082.92
1472,93147.82
1473,100427.125
1474,153218.45
1475,109383.43
1476,372967.16
1477,256486.39
1478,280130.66
1479,264214.56
1480,523468.8
1481,341459.38
1482,204593.56
1483,171767.44
1484,168075.22
1485,178186.2
1486,199173.62
1487,337335.2
1488,228584.86
1489,213747.28
1490,235858.73
1491,188692.33
1492,92140.77
1493,186314.44
1494,292818.84
1495,279645.94
1496,244235.25
1497,184093.2
1498,161911.83
1499,157501.6
1500,152520.2
1501,175725.89
1502,143489.34
1503,300582.25
1504,240337.47
1505,228912.08
1506,187663.2
1507,250751.77
1508,197741.38
1509,161208.53
1510,149371.44
1511,146860.27
1512,175864.92
1513,140425.05
1514,153722.34
1515,192011.38
1516,145311.84
1517,158861.38
1518,132252.69
1519,232114.67
1520,137101.34
1521,138033.14
1522,167272.62
1523,116087.75
1524,124998.34
1525,121593.47
1526,116648.66
1527,103336.086
1528,131735.75
1529,152456.66
1530,166169.03
1531,101798.27
1532,99203.2
1533,152035.25
1534,117707.43
1535,152670.38
1536,111610.99
1537,66727.83
1538,158491.67
1539,182753.67
1540,98126.87
1541,141875.31
1542,138651.52
1543,206918.92
1544,83689.65
1545,109669.56
1546,126495.516
1547,136147.28
1548,132378.66
1549,114047.47
1550,138745.56
1551,110533.84
1552,137043.86
1553,154262.12
1554,112177.16
1555,166584.28
1556,86488.625
1557,106278.21
1558,89247.61
1559,80009.88
1560,124887.55
1561,142427.1
1562,129736.04
1563,122092.31
1564,158893.34
1565,150479.53
1566,242179.6
1567,76882.79
1568,228135.61
1569,145731.06
1570,134907.33
1571,116483.8
1572,146015.95
1573,246777.12
1574,108547.38
1575,233363.97
1576,239513.86
1577,197615.42
1578,140846.16
1579,146191.78
1580,192820.56
1581,153502.27
1582,128866.22
1583,330067.3
1584,230182.83
1585,140868.56
1586,71059.19
1587,95744.695
1588,154058.16
1589,101207.58
1590,133142.12
1591,96369.52
1592,113362.04
1593,118032.15
1594,137903.33
1595,116406.57
1596,247467.5
1597,179188.92
1598,198289.78
1599,172079.72
1600,167374.86
1601,65386.285
1602,117503.68
1603,70739.33
1604,275228.9
1605,242283.61
1606,170972.61
1607,162720.73
1608,214121.75
1609,192130.22
1610,159837.86
1611,139674.17
1612,168860.2
1613,165557.98
1614,127630.13
1615,83919.32
1616,73067.66
1617,88035.25
1618,125765.914
1619,140910.7
1620,169180.64
1621,141375.67
1622,144038.98
1623,279748.12
1624,209435.95
1625,119045.85
1626,164666.4
1627,189700.36
1628,279378.06
1629,177473.19
1630,360296.28
1631,213047.72
1632,239526.6
1633,171449.56
1634,189010.11
1635,173592.3
1636,153468.16
1637,196936.08
1638,192021.4
1639,180669.0
1640,261676.14
1641,174063.89
1642,234894.69
1643,226376.45
1644,236560.97
1645,200563.97
1646,160315.64
1647,156366.55
1648,133380.89
1649,142174.22
1650,117729.2
1651,120331.375
1652,97133.77
1653,102940.836
1654,148788.69
1655,150355.72
1656,148352.2
1657,150668.52
1658,150443.27
1659,122259.27
1660,155894.53
1661,447755.53
1662,400484.3
1663,391724.47
1664,420608.72
1665,308087.34
1666,315961.38
1667,362751.75
1668,343176.9
1669,295997.22
1670,351384.06
1671,269582.47
1672,493114.44
1673,291224.1
1674,249516.75
1675,188916.27
1676,193861.31
1677,225932.7
1678,475055.34
1679,414460.06
1680,358520.16
1681,241674.88
1682,300933.44
1683,177893.36
1684,176285.25
1685,168689.17
1686,165658.89
1687,169739.06
1688,195958.39
1689,200297.53
1690,188351.14
1691,178409.25
1692,261499.0
1693,168331.05
1694,181450.31
1695,167940.8
1696,274691.5
1697,170825.2
1698,357798.47
1699,329833.16
1700,243734.36
1701,261273.84
1702,255545.88
1703,259028.6
1704,287571.72
1705,230789.47
1706,419248.0
1707,223890.06
1708,211899.81
1709,269218.1
1710,227180.89
1711,268287.44
1712,261587.55
1713,291013.62
1714,229663.1
1715,203536.86
1716,186339.3
1717,175066.78
1718,129702.69
1719,202419.56
1720,245691.58
1721,168255.5
1722,122788.89
1723,154356.02
1724,210540.38
1725,242536.81
1726,185613.36
1727,157211.12
1728,179340.66
1729,167451.98
1730,151980.44
1731,123038.516
1732,132945.9
1733,115715.875
1734,119839.29
1735,131577.03
1736,120300.195
1737,326341.34
1738,225877.92
1739,274093.62
1740,225256.34
1741,193136.19
1742,171271.98
1743,175767.06
1744,312235.5
1745,225937.7
1746,183113.45
1747,217648.83
1748,228412.88
1749,157884.69
1750,130775.68
1751,229877.75
1752,122547.734
1753,146676.77
1754,194646.44
1755,170073.17
1756,127803.305
1757,119213.22
1758,146415.05
1759,156037.45
1760,167622.08
1761,141374.66
1762,173106.4
1763,166580.28
1764,115808.86
1765,164797.81
1766,177051.73
1767,217110.2
1768,148800.73
1769,173007.5
1770,146565.9
1771,129843.05
1772,142364.0
1773,133508.03
1774,136299.05
1775,138206.02
1776,127744.445
1777,114331.27
1778,139159.27
1779,117097.45
1780,171596.73
1781,129284.11
1782,92669.98
